ObjectId,Country,Unit,Date,Amount
511,World,Parts Per Million,1979-12-01,336.81
512,World,Percent,1979-12-01,0.57
513,World,Parts Per Million,1980-01-01,337.9
514,World,Percent,1980-01-01,0.52
515,World,Parts Per Million,1980-02-01,338.34
516,World,Percent,1980-02-01,0.49
517,World,Parts Per Million,1980-03-01,340.07
518,World,Percent,1980-03-01,0.53
519,World,Parts Per Million,1980-04-01,340.93
520,World,Percent,1980-04-01,0.62
521,World,Parts Per Million,1980-05-01,341.45
522,World,Percent,1980-05-01,0.65
523,World,Parts Per Million,1980-06-01,341.36
524,World,Percent,1980-06-01,0.62
525,World,Parts Per Million,1980-07-01,339.45
526,World,Percent,1980-07-01,0.57
527,World,Parts Per Million,1980-08-01,337.67
528,World,Percent,1980-08-01,0.58
529,World,Parts Per Million,1980-09-01,336.25
530,World,Percent,1980-09-01,0.68
531,World,Parts Per Million,1980-10-01,336.14
532,World,Percent,1980-10-01,0.57
533,World,Parts Per Million,1980-11-01,337.3
534,World,Percent,1980-11-01,0.59
535,World,Parts Per Million,1980-12-01,338.29
536,World,Percent,1980-12-01,0.44
537,World,Parts Per Million,1981-01-01,339.29
538,World,Percent,1981-01-01,0.41
539,World,Parts Per Million,1981-02-01,340.55
540,World,Percent,1981-02-01,0.65
541,World,Parts Per Million,1981-03-01,341.63
542,World,Percent,1981-03-01,0.46
543,World,Parts Per Million,1981-04-01,342.6
544,World,Percent,1981-04-01,0.49
545,World,Parts Per Million,1981-05-01,343.04
546,World,Percent,1981-05-01,0.47
547,World,Parts Per Million,1981-06-01,342.54
548,World,Percent,1981-06-01,0.35
549,World,Parts Per Million,1981-07-01,340.82
550,World,Percent,1981-07-01,0.4
551,World,Parts Per Million,1981-08-01,338.48
552,World,Percent,1981-08-01,0.24
553,World,Parts Per Million,1981-09-01,336.95
554,World,Percent,1981-09-01,0.21
555,World,Parts Per Million,1981-10-01,337.05
556,World,Percent,1981-10-01,0.27
557,World,Parts Per Million,1981-11-01,338.58
558,World,Percent,1981-11-01,0.38
559,World,Parts Per Million,1981-12-01,339.91
560,World,Percent,1981-12-01,0.48
561,World,Parts Per Million,1982-01-01,340.93
562,World,Percent,1982-01-01,0.48
563,World,Parts Per Million,1982-02-01,341.76
564,World,Percent,1982-02-01,0.36
565,World,Parts Per Million,1982-03-01,342.77
566,World,Percent,1982-03-01,0.33
567,World,Parts Per Million,1982-04-01,343.96
568,World,Percent,1982-04-01,0.4
569,World,Parts Per Million,1982-05-01,344.77
570,World,Percent,1982-05-01,0.5
