ObjectId,Country,Unit,Amount,year
548,World,Percent,0.35,1981
549,World,Parts Per Million,340.82,1981
550,World,Percent,0.4,1981
551,World,Parts Per Million,338.48,1981
552,World,Percent,0.24,1981
553,World,Parts Per Million,336.95,1981
554,World,Percent,0.21,1981
555,World,Parts Per Million,337.05,1981
556,World,Percent,0.27,1981
557,World,Parts Per Million,338.58,1981
558,World,Percent,0.38,1981
559,World,Parts Per Million,339.91,1981
560,World,Percent,0.48,1981
561,World,Parts Per Million,340.93,1982
562,World,Percent,0.48,1982
563,World,Parts Per Million,341.76,1982
564,World,Percent,0.36,1982
565,World,Parts Per Million,342.77,1982
566,World,Percent,0.33,1982
567,World,Parts Per Million,343.96,1982
568,World,Percent,0.4,1982
569,World,Parts Per Million,344.77,1982
570,World,Percent,0.5,1982
571,World,Parts Per Million,343.88,1982
572,World,Percent,0.39,1982
573,World,Parts Per Million,342.42,1982
574,World,Percent,0.47,1982
575,World,Parts Per Million,340.24,1982
576,World,Percent,0.52,1982
577,World,Parts Per Million,338.38,1982
578,World,Percent,0.42,1982
579,World,Parts Per Million,338.41,1982
580,World,Percent,0.4,1982
581,World,Parts Per Million,339.44,1982
582,World,Percent,0.25,1982
583,World,Parts Per Million,340.78,1982
584,World,Percent,0.26,1982
585,World,Parts Per Million,341.57,1983
586,World,Percent,0.19,1983
587,World,Parts Per Million,342.78,1983
588,World,Percent,0.3,1983
589,World,Parts Per Million,343.37,1983
590,World,Percent,0.18,1983
591,World,Parts Per Million,345.4,1983
592,World,Percent,0.42,1983
593,World,Parts Per Million,346.14,1983
594,World,Percent,0.4,1983
595,World,Parts Per Million,345.76,1983
596,World,Percent,0.55,1983
597,World,Parts Per Million,344.32,1983
598,World,Percent,0.55,1983
599,World,Parts Per Million,342.51,1983
600,World,Percent,0.67,1983
601,World,Parts Per Million,340.46,1983
602,World,Percent,0.61,1983
603,World,Parts Per Million,340.53,1983
604,World,Percent,0.63,1983
605,World,Parts Per Million,341.79,1983
606,World,Percent,0.69,1983
607,World,Parts Per Million,343.2,1983
608,World,Percent,0.71,1983
609,World,Parts Per Million,344.21,1984
610,World,Percent,0.77,1984
611,World,Parts Per Million,344.92,1984
612,World,Percent,0.62,1984
613,World,Parts Per Million,345.68,1984
614,World,Percent,0.67,1984
615,World,Parts Per Million,347.37,1984
616,World,Percent,0.57,1984
617,World,Parts Per Million,347.78,1984
618,World,Percent,0.47,1984
619,World,Parts Per Million,347.16,1984
620,World,Percent,0.4,1984
621,World,Parts Per Million,345.79,1984
622,World,Percent,0.43,1984
623,World,Parts Per Million,343.74,1984
624,World,Percent,0.36,1984
625,World,Parts Per Million,341.59,1984
626,World,Percent,0.33,1984
627,World,Parts Per Million,341.86,1984
628,World,Percent,0.39,1984
629,World,Parts Per Million,343.31,1984
630,World,Percent,0.44,1984
631,World,Parts Per Million,345.0,1984
632,World,Percent,0.52,1984
633,World,Parts Per Million,345.48,1985
634,World,Percent,0.37,1985
635,World,Parts Per Million,346.41,1985
636,World,Percent,0.43,1985
637,World,Parts Per Million,347.91,1985
638,World,Percent,0.65,1985
639,World,Parts Per Million,348.66,1985
640,World,Percent,0.37,1985
641,World,Parts Per Million,349.28,1985
642,World,Percent,0.43,1985
643,World,Parts Per Million,348.65,1985
644,World,Percent,0.43,1985
645,World,Parts Per Million,346.9,1985
646,World,Percent,0.32,1985
647,World,Parts Per Million,345.26,1985
648,World,Percent,0.44,1985
649,World,Parts Per Million,343.47,1985
650,World,Percent,0.55,1985
651,World,Parts Per Million,343.35,1985
652,World,Percent,0.44,1985
653,World,Parts Per Million,344.73,1985
654,World,Percent,0.41,1985
655,World,Parts Per Million,346.12,1985
656,World,Percent,0.32,1985
657,World,Parts Per Million,346.78,1986
658,World,Percent,0.38,1986
659,World,Parts Per Million,347.48,1986
660,World,Percent,0.31,1986
661,World,Parts Per Million,348.25,1986
662,World,Percent,0.1,1986
663,World,Parts Per Million,349.86,1986
664,World,Percent,0.34,1986
665,World,Parts Per Million,350.52,1986
666,World,Percent,0.36,1986
667,World,Parts Per Million,349.98,1986
668,World,Percent,0.38,1986
669,World,Parts Per Million,348.25,1986
670,World,Percent,0.39,1986
671,World,Parts Per Million,346.17,1986
672,World,Percent,0.26,1986
673,World,Parts Per Million,345.48,1986
674,World,Percent,0.59,1986
675,World,Parts Per Million,344.82,1986
676,World,Percent,0.43,1986
677,World,Parts Per Million,346.22,1986
678,World,Percent,0.43,1986
679,World,Parts Per Million,347.49,1986
680,World,Percent,0.4,1986
681,World,Parts Per Million,348.73,1987
682,World,Percent,0.56,1987
683,World,Parts Per Million,348.92,1987
684,World,Percent,0.41,1987
685,World,Parts Per Million,349.81,1987
686,World,Percent,0.45,1987
687,World,Parts Per Million,351.4,1987
688,World,Percent,0.44,1987
689,World,Parts Per Million,352.15,1987
690,World,Percent,0.47,1987
691,World,Parts Per Million,351.58,1987
692,World,Percent,0.46,1987
693,World,Parts Per Million,350.21,1987
694,World,Percent,0.56,1987
695,World,Parts Per Million,348.2,1987
696,World,Percent,0.59,1987
697,World,Parts Per Million,346.66,1987
698,World,Percent,0.34,1987
699,World,Parts Per Million,346.72,1987
700,World,Percent,0.55,1987
701,World,Parts Per Million,348.08,1987
702,World,Percent,0.54,1987
703,World,Parts Per Million,349.28,1987
704,World,Percent,0.52,1987
705,World,Parts Per Million,350.51,1988
706,World,Percent,0.51,1988
707,World,Parts Per Million,351.7,1988
708,World,Percent,0.8,1988
709,World,Parts Per Million,352.5,1988
710,World,Percent,0.77,1988
711,World,Parts Per Million,353.67,1988
712,World,Percent,0.65,1988
713,World,Parts Per Million,354.35,1988
714,World,Percent,0.62,1988
715,World,Parts Per Million,353.88,1988
716,World,Percent,0.65,1988
717,World,Parts Per Million,352.8,1988
718,World,Percent,0.74,1988
719,World,Parts Per Million,350.49,1988
720,World,Percent,0.66,1988
721,World,Parts Per Million,348.97,1988
722,World,Percent,0.67,1988
723,World,Parts Per Million,349.37,1988
724,World,Percent,0.76,1988
725,World,Parts Per Million,350.42,1988
726,World,Percent,0.67,1988
727,World,Parts Per Million,351.62,1988
728,World,Percent,0.67,1988
729,World,Parts Per Million,353.07,1989
730,World,Percent,0.73,1989
731,World,Parts Per Million,353.43,1989
732,World,Percent,0.49,1989
733,World,Parts Per Million,354.08,1989
