ObjectId,Country,Unit,Measure,Amount,Year
488,World,Millimeters,Arabian Sea,24.84,1993
489,World,Millimeters,Atlantic Ocean,-30.61,1993
490,World,Millimeters,Bering Sea,13.55,1993
491,World,Millimeters,Caribbean Sea,-24.98,1993
492,World,Millimeters,Indian Ocean,-5.83,1993
493,World,Millimeters,Nino,-21.63,1993
494,World,Millimeters,North Atlantic,-29.93,1993
495,World,Millimeters,North Pacific,-15.51,1993
496,World,Millimeters,Pacific Ocean,-8.88,1993
497,World,Millimeters,Southern Ocean,-15.53,1993
498,World,Millimeters,Tropics,-14.14,1993
499,World,Millimeters,World,-15.35,1993
500,World,Millimeters,Yellow Sea,-10.01,1993
501,World,Millimeters,Andaman Sea,64.16,1993
502,World,Millimeters,Baltic Sea,121.45,1993
503,World,Millimeters,Bay Bengal,22.07,1993
504,World,Millimeters,Mediterranean,-42.28,1993
505,World,Millimeters,North Sea,-74.59,1993
506,World,Millimeters,Sea Okhotsk,-13.89,1993
507,World,Millimeters,Arabian Sea,4.44,1993
508,World,Millimeters,Atlantic Ocean,-29.21,1993
509,World,Millimeters,Bering Sea,10.25,1993
510,World,Millimeters,Caribbean Sea,-7.88,1993
511,World,Millimeters,Gulf Mexico,14.65,1993
512,World,Millimeters,Indian Ocean,-8.63,1993
513,World,Millimeters,Indonesian,-122.49,1993
514,World,Millimeters,Nino,-16.13,1993
515,World,Millimeters,North Atlantic,-17.43,1993
516,World,Millimeters,North Pacific,-2.01,1993
517,World,Millimeters,Pacific Ocean,-9.88,1993
518,World,Millimeters,Persian Gulf,-33.07,1993
519,World,Millimeters,Sea Japan,-18.85,1993
520,World,Millimeters,South China,-66.4,1993
521,World,Millimeters,Southern Ocean,-33.43,1993
522,World,Millimeters,Tropics,-8.44,1993
523,World,Millimeters,World,-15.95,1993
524,World,Millimeters,Yellow Sea,5.29,1993
525,World,Millimeters,Adriatic Sea,-91.81,1993
526,World,Millimeters,Baltic Sea,104.45,1993
527,World,Millimeters,Bay Bengal,-35.13,1993
528,World,Millimeters,Bering Sea,45.15,1993
529,World,Millimeters,Indonesian,-139.39,1993
530,World,Millimeters,Mediterranean,-15.08,1993
531,World,Millimeters,North Sea,-44.59,1993
532,World,Millimeters,Persian Gulf,-83.47,1993
533,World,Millimeters,Sea Okhotsk,-4.39,1993
534,World,Millimeters,South China,-79.3,1993
535,World,Millimeters,Adriatic Sea,-39.51,1993
536,World,Millimeters,Andaman Sea,68.86,1993
537,World,Millimeters,Arabian Sea,-62.56,1993
538,World,Millimeters,Atlantic Ocean,-23.51,1993
539,World,Millimeters,Caribbean Sea,2.22,1993
540,World,Millimeters,Gulf Mexico,28.25,1993
541,World,Millimeters,Indian Ocean,-41.13,1993
542,World,Millimeters,Nino,-36.73,1993
543,World,Millimeters,North Atlantic,-1.83,1993
544,World,Millimeters,North Pacific,16.59,1993
545,World,Millimeters,Pacific Ocean,-13.08,1993
546,World,Millimeters,Sea Japan,-61.65,1993
547,World,Millimeters,Southern Ocean,-45.53,1993
548,World,Millimeters,Tropics,-19.64,1993
549,World,Millimeters,World,-22.75,1993
550,World,Millimeters,Yellow Sea,58.09,1993
551,World,Millimeters,Baltic Sea,78.15,1993
552,World,Millimeters,Mediterranean,-20.18,1993
553,World,Millimeters,North Sea,-23.79,1993
554,World,Millimeters,Sea Okhotsk,-1.59,1993
555,World,Millimeters,South China,-64.2,1993
