country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C)
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1964,-0.166
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1965,-0.388
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1966,0.559
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1967,-0.074
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1968,0.081
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1969,-0.013
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1970,-0.106
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1971,-0.195
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1972,-0.069
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1973,-0.288
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1974,-0.139
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1975,-0.211
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1976,-0.683
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1977,0.545
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1978,-0.814
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1979,0.203
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1980,-0.414
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1981,-0.351
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1982,0.173
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1983,-0.128
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1984,-0.27
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1985,-0.103
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1986,0.569
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1987,-0.106
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1988,0.37
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1989,-0.066
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1990,0.795
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1991,-0.269
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1992,0.106
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1993,0.076
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1994,1.33
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1995,-0.172
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1996,-0.038
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1997,0.075
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1998,0.795
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1999,0.67
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2000,1.065
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2001,1.532
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2002,0.492
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2003,0.97
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2004,0.444
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2005,0.189
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2006,0.345
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2007,1.316
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2008,0.978
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2009,0.91
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2010,1.191
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2011,1.055
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2012,1.487
